127.0.0.1 - - [09/Jul/2023:11:25:50 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:50 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 200 15225
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9060
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/css/bootstrap.min.css HTTP/1.1" 200 164122
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/js/moment-timezone.min.js HTTP/1.1" 200 32832
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/js/moment.min.js HTTP/1.1" 200 326657
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56879
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/js/main.js HTTP/1.1" 200 5700
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/chart/chart.min.js HTTP/1.1" 200 194890
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/img/user.jpg HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/EVCS.jpg HTTP/1.1" 200 99935
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/css/style.css HTTP/1.1" 200 5323
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:25:51 +0530] "GET /EV_Charging_Station_Finder/img/favicon.ico HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/ HTTP/1.1" 200 15225
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/js/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:11:26:35 +0530] "GET /EV_Charging_Station_Finder/lib/chart/chart.min.js HTTP/1.1" 304 -
